stok_kodu_1,stok_adi_1,stok_kodu_2,stok_adi_2,benzerlik_skoru
UCY 10H125113,INTERCOOLER HORTUM,UCY 10H12526,INTERCOOLER HORTUM,1.0
UCY 10H125113,INTERCOOLER HORTUM,UCY 10H12528,INTERCOOLER HORTUM,1.0
UCY 10H12526,INTERCOOLER HORTUM,UCY 10H12528,INTERCOOLER HORTUM,1.0
W712889  S300    N,KLIPS,W702806  S442    N,KLIPS,1.0
W712889  S300    N,KLIPS,W715271  S300    N,KLIPS,1.0
W712889  S300    N,KLIPS,W715667  S439    N,KLIPS,1.0
W712889  S300    N,KLIPS,W716740  S439    N,KLIPS,1.0
W712889  S300    N,KLIPS,W527005  S437M   N,KLIPS,1.0
W712889  S300    N,KLIPS,W716740  S439    N,KLIPS,1.0
W712889  S300    N,KLIPS,W715271  S300    N,KLIPS,1.0
W712889  S300    N,KLIPS,W715667  S439    N,KLIPS,1.0
W712889  S300    N,KLIPS,W710338  S403    N,KLIPS,1.0
W712889  S300    N,KLIPS,W713312 S300    N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS    8       N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS    19      N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS    19      N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS    8       N,KLIPS,1.0
W712889  S300    N,KLIPS,W702806  S442    N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS  8                N,KLIPS,1.0
W712889  S300    N,KLIPS,KLIPS  19               N,KLIPS,1.0
W712889  S300    N,KLIPS,W527005  S437M   N,KLIPS,1.0
W712889  S300    N,KLIPS,W712889  S300    N,KLIPS,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP051/6,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP072/2,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP092/7,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP196,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,BSCH F 026 400 675,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP 062/1,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP185/5,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AP 092/3,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,6G91 9601 AD N,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,FILTRON AR316/1,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,BSCH 0 986 TF0 097,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,BSCH F 026 400 492,HAVA FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,BSCH F 026 400 373,HAVA  FİLTRESİ,1.0
FILTRON AP092/3,HAVA FİLTRESİ,BSCH  F 026 400 373,HAVA FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE648/9,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,BSCH  1 457  429 256,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OP520,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE 666/5,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE 648,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE 640/1,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE 648/4,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OE 662/1,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OP 642/3,YAĞ FİLTRESİ,1.0
FILTRON OE648/4,YAĞ FİLTRESİ,FILTRON OP 629/1,YAĞ FİLTRESİ,1.0
